922,Weet u zeker dat u deze stream wilt verwijderen?;
923,Opties;
924,Zoeken binnen streaming;
925,Stream naam;
926,Gebruikersnaam;
927,Wachtwoord;
928,Host en poort;
929,U heeft niet alle vereiste informatie ingevuld om een stream aan te maken of een optie is ongeldig of niet goed doorgekomen.;
930,Het aanmaken van het stream pakket is gelukt.;
931,Het aanmaken is niet mogelijk aangezien u dit aantal luisteraars niet beschikbaar heeft. Neem snel contact op om uw pakket uit te breiden.;
932,Informatie over deze stream kon niet opgevraagd worden.;
933,Stream bewerken;
934,Stream wijzigen mislukt;
935,Stream gewijzigd;
936,Stream bestaat nu niet meer;
937,Uit;
938,Aan;
939,Stream status;
940,Master status;
941,Master uitgeschakeld;
942,Master ingeschakeld;
943,Master inschakelen betekend dat deze stream een relay is voor een andere stream;
944,Mountpoint;
945,Advies listen.pls te gebruiken hier, deze leeg laten kan ook geen kwaad;
946,Relay wachtwoord;
947,De relay gebruiker is relay;
948,Source wachtwoord;
949,De source gebruiker is source;
950,Master server;
951,Master poort;
952,Master gebruiker;
953,Master wachtwoord;
954,Stream URL;
955,Stream admin URL;
956,DJ status;
957,Ingeschakeld;
958,Uitgeschakeld;
959,FTP gebruikersnaam;
960,FTP wachtwoord;
961,Door de DJ in te schakelen zal deze een verbinding maken naar de stream en de MP3'tjes in willekeurige volgorde afspelen;
962,Genre;
963,Beschrijving;
964,URL met informatie over de stream;
965,Is de stream publiek?;
966,Ja;
967,Nee;
968,Start stream(s);
969,Stop stream(s);
970,Start DJ;
971,Stop DJ;
972,Status;
973,Stream draait;
974,Stream gestopt;
975,DJ draait;
976,DJ gestopt;
977,Uitvoeren;
978,Start stream;
979,Stop stream;
980,Start DJ;
981,Stop DJ;
982,Let op: de DJ kan enkel draaien als de stream draait. Als de DJ aangezet wordt en de stream draait niet dan wordt deze ook gestart. Als de stream gestopt wordt en de DJ draait dan wordt de DJ ook gestopt.;
983,Let op: opties met een kruisje bij Icecast worden voor Icecast gebruikt, opties met een kruisje bij Shoutcast worden voor Shoutcast gebruikt.;
984,Stream type (Icecast of Shoutcast);
985,Shoutcastkey voor yp2 vermeldingen;
986,SC Trans toegang (DJ);
987,Type stream;
988,Start;
989,Stop;
990,Snelle stream acties;
991,Start DJ;
992,Stop DJ;
993,Luister naar;
994,DNAS link;
995,Extra DJ wachtwoord: ;
996,De extra DJ gebruiker is source. Mountpoint is /dj{nummer}-{mountpoint}, hierbij is het nummer gelijk aan het nummer achter Extra DJ wachtwoord en mountpoint gelijk aan het ingestelde mountpoint.;
997,Statistieken link;
998,Admin link;
999,IP adres: ;
1100,Hostname;
1101,TTL;
1102,Record type;
1103,MX pref;
1104,Waarde;
1105,Vorige;
1106,Rechten aanpassen voor gebruiker: ;
1107,Gegegevens aanpassen voor gebruiker: ;
1108,Weet u zeker dat u wilt uitloggen?;
1109,Welkom in uw vernieuwde Controlpanel.;
1200,Pakket details;
1201,Pakket overdragen aan andere gebruiker;
1202,Pakket wijzigen;
1203,Pakket verwijderen;
1204,Pakket toevoegen;
1210,Klant details;
1211,Klant wijzigen;
1212,Klant rechten wijzigen;
1213,Wijzig status;
1214,Wijzig status;
1215,Weet u zeker dat u deze klant wilt activeren?;
1216,Weet u zeker dat u deze klant wilt de-activeren?;
1217,Wachtwoord reset;
1218,Weet u zeker dat u het wachtwoord van deze gebruiker wilt resetten?;
1219,Klant verwijderen;
1220,Klant overdragen;
1230,DNS records bekijken;
1231,DNS records aanpassen;
1232,Supermaster koppeling verwijderen;
1233,Domeinnaam ontkoppellen van Supermaster;
1234,Domeinmaam koppellen aan template;
1235,Domeinnaam verwijderen;
1400,Vorige laag;
1401,Nederlands;
1402,Schermtaal:;
1403,Geef uw gebruikersnaam op in het veld "Gebruikersnaam" en uw wachtwoord in het veld "Wachtwoord". Klik vervolgens op "Aanmelden".;
1404,Aanmelden;
